SKU,id,title,description,link,image_link,price,availability,condition
9000430 19375-120524 01917,387736804346,AFL - Standard Compression Jumper Connector 5030.116 - 715.5 mil - 30AH - 30/19,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387736804346,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,used
9000630 19375-120824 01918,387736810309,Hyco - 13-Piece Seal Kit - 14760 - 1HYCAN14760 - 332-7551-0 - Exp 4Q27,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387736810309,https://bulldogofthepines.com/banner.jpg,44.99 USD,in_stock,used
9000430 19375-120824 01919,387736814389,Hyco - 13-Piece Seal Kit - 14760 - 1HYCAN14760 - 332-7551-0 - Exp 4Q27,Quality part. eBay Condition: New,https://bulldogofthepines.com/387736814389,https://bulldogofthepines.com/banner.jpg,110.54 USD,in_stock,new
9002010 1008-081823 01115,386290757668,Polo Ralph Lauren - Women's Black Turtleneck Dress - S - Wool w/ Silk Lower Tier,Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386290757668,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9002010 1008-081823 01089,386290785078,"Theia - Floral Print Dress/ Gown - Sleeveless - Lace - Black, Yellow, & Gold - 8",Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/386290785078,https://bulldogofthepines.com/banner.jpg,100.49 USD,in_stock,used
9000330 636-072023 01282,386865561890,"*Lot of 6* Tetra Pak - 9"" Scraper Blades 87812000313 - for Ind. Ice Cream Mixers",Quality part. eBay Condition: Used,https://bulldogofthepines.com/386865561890,https://bulldogofthepines.com/banner.jpg,41.24 USD,in_stock,used
9000510 636-072023 01280,386865632849,PCM - Moineau - Stator - 28604-1647 - for Progressive Cavity Pumps 120I5 *NOS*,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/386865632849,https://bulldogofthepines.com/banner.jpg,200.99 USD,in_stock,used
9000510 636-072023 01286,386865840569,"*Lot of 2* Tetra Pak - 955mm (37-7/16"") Large Scraper Blades - 5941101-0213",Quality part. eBay Condition: Used,https://bulldogofthepines.com/386865840569,https://bulldogofthepines.com/banner.jpg,56.24 USD,in_stock,used
9000140 636-072023 01283,386865845185,"*Lot of 2* Tetra Pak - 17-5/8"" 3-Hole Blades 78-162-2081 - for Industrial Equip",Quality part. eBay Condition: Used,https://bulldogofthepines.com/386865845185,https://bulldogofthepines.com/banner.jpg,32.29 USD,in_stock,used
9000230 636-072023 01285,386865853660,"*Lot of 2* Tetra Pak Hoyer - 18-3/4"" 3-Hole Scraper Blades - 5971102-0630",Quality part. eBay Condition: Used,https://bulldogofthepines.com/386865853660,https://bulldogofthepines.com/banner.jpg,33.99 USD,in_stock,used
9000530 1456-070325 01698,387212518861,Fresenius - Circuit Board LP955 - 677818 - for Medical Devices *See Description*,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/387212518861,https://bulldogofthepines.com/banner.jpg,150.74 USD,in_stock,used
9001840 1535-061424 01711,387212518863,"Converse Kith x Chuck Taylor 70 High 'Black Monogram' 171864C - Mens 6, Womens 8",Quality part. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com/387212518863,https://bulldogofthepines.com/banner.jpg,52.49 USD,in_stock,used
9001530 REBEL-042823 00345,385621333106,*Lot of 2* Goodyear - Classic - C136 - Industrial Serpentine/ Accessory V-Belt,Quality part. eBay Condition: New other (see details),https://bulldogofthepines.com/385621333106,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,new
9001530 REBEL-042823 00347,385621333917,Goodyear - Classic - C170 - Industrial/ Commercial Serpentine/ Accessory V-Belt,Quality part. eBay Condition: New other (see details),https://bulldogofthepines.com/385621333917,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,new
9000120 829-121924 02170,388282953039,"Cummins Sensor Adapter 9/16""-18 Conns 4940215 for EPA13 6.7 Liter ISB/QSB Engine",Quality part. eBay Condition: Used,https://bulldogofthepines.com/388282953039,https://bulldogofthepines.com/banner.jpg,16.99 USD,in_stock,used
9000120 829-121924 02172,388282969650,"(Box of 10) Eaton - 1454 1-1/2"" - EMT Set Screw Type Connector Conduit Fitting",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388282969650,https://bulldogofthepines.com/banner.jpg,23.79 USD,in_stock,used
9000120 829-121924 02174,388283001333,"(Qty 3) 2-1/2"" Male NPT Square Head Plugs - 304 SS Stainless Steel - 40SQ112N212",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283001333,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000120 829-121924 02175,388283009348,"Quadrant - 1/2"" FNPT Series S6 Seal-Welded SS Ball Valve - API 608 - PEEK Seat",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283009348,https://bulldogofthepines.com/banner.jpg,25.49 USD,in_stock,used
9000320 829-121924 02133,388283039449,"(Qty 12) 1/2"" Female NPT 90° Elbow Iron Pipe Fittings - UL Listed/ FM Approved",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283039449,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000320 829-121924 02135,388283053471,(Bag of 100) NTI - 25x38x6.5 100% NBR Buna-N Oil Seals - 2209 - Black *NOT TCV*,Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283053471,https://bulldogofthepines.com/banner.jpg,54.26 USD,in_stock,used
9000320 829-121924 02136,388283060775,"(Qty 10) SPF - 1-1/4"" x 1-1/4"" Grooved Weld Outlets - 300# - SCH 40 - 3"" Length",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283060775,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000630 829-121924 02139,388283091010,"Dixon 2"" NPSM King Short Shank Suction Complete Coupling S-78 (S-25 S-26 S-27)",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283091010,https://bulldogofthepines.com/banner.jpg,22.09 USD,in_stock,used
9000630 829-121924 02141,388283100352,"Dixon - W-Series Wingstyle Female Threaded Coupler 6WF4-B - 1/2"" FNPT, 3/4"" Body",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283100352,https://bulldogofthepines.com/banner.jpg,22.94 USD,in_stock,used
9000630 829-121924 02142,388283107504,"(Qty 4) WM - 3/4"" x 1/2"" MNPT Steel Pipe Reducer Fittings - SCH 80 - SP-95 - WPB",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283107504,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000630 829-121924 02143,388283110911,"1-1/2"" Weld Neck Raised Face Slip-On Flange - 300# - SCH XS - WN SO-RF *NOS*",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283110911,https://bulldogofthepines.com/banner.jpg,21.24 USD,in_stock,used
9000210 501-072023 02319,389385371041,"(Qty 2) Koch 3/16"" x 20' Grade 30, 800 lbs Max Chain Electrogalvanized No Hooks",Quality part. eBay Condition: New,https://bulldogofthepines.com/389385371041,https://bulldogofthepines.com/banner.jpg,33.59 USD,in_stock,new
9000630 829-121924 02144,388283114645,"HM - 3"" x 3"" x 1-1/2"" Weld Tee - SCH XH - A234 - WPB - Carbon Steel",Quality part. eBay Condition: New – Open box,https://bulldogofthepines.com/388283114645,https://bulldogofthepines.com/banner.jpg,27.19 USD,in_stock,used
