SKU,id,title,CategoryName,description,link,image_link,price,availability,condition,raw_condition
9000230 501-072023 02327,389389024141,"(Qty 2) Shurflo - Water Pressure Reducer Valves 65 psi - 183-165-01 - 3/8"" Barb","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Valves & Manifolds:Other Valves & Manifolds",Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com389389024141,https://i.ebayimg.com/00/s/NzcxWDEzMDU=/z/p5kAAeSw9n5pRMkP/$_57.PNG?set_id=880000500F,22.49 USD,in_stock,new,New
9000230 501-072023 02328,389389027606,"Generant - Back Pressure Regulator - 1/4"" NPT - 100-350 psi - BPR-250I-C-320","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Compressed Air Treatment:Air Pressure Regulators",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389027606,https://i.ebayimg.com/00/s/MTA2MVg2OTI=/z/Zn8AAeSw4LBpRMmH/$_57.PNG?set_id=880000500F,39.99 USD,in_stock,used,New – Open box
9000230 501-072023 02331,389389035541,"(Bag of 25) NDL - 1/2"" 90 Short Radius Copper Elbows Cup x Cup CxC - CS7-08 107",Business & Industrial:Building Materials & Supplies:Industrial Plumbing & Fixtures:Pipe Fittings,Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com389389035541,https://i.ebayimg.com/00/s/MTI3OVgxMDE3/z/aeoAAeSwKxdpRMq8/$_57.PNG?set_id=880000500F,17.99 USD,in_stock,new,New
9000330 501-072023 02334,389389061864,"Eaton 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen SY085007ES30A NOS","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Valves & Manifolds:Other Valves & Manifolds",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389061864,https://i.ebayimg.com/00/s/ODY1WDE0MjU=/z/Lf8AAeSwZ59pRM1D/$_57.PNG?set_id=880000500F,71.99 USD,in_stock,used,New – Open box
9000230 501-072023 02335,389389069236,"Eaton - 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen - SY085007ES30A","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Valves & Manifolds:Other Valves & Manifolds",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389069236,https://i.ebayimg.com/00/s/MTAxNVgxNDYy/z/M6oAAeSwoo1pRM5a/$_57.PNG?set_id=880000500F,87.99 USD,in_stock,used,New – Open box
9000330 501-072023 02339,389389091089,"(Qty 2) Kimball Midwest 1"" Female JIC Swivel x Hose Crimp 45 Elbow EFJX45-16-16","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Fittings & Adapters:Other Fittings & Adapters",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389091089,https://i.ebayimg.com/00/s/OTk3WDEyMDI=/z/evkAAeSw~K1pRNA8/$_57.PNG?set_id=880000500F,33.99 USD,in_stock,used,New – Open box
9000140 501-072023 02341,389389115588,"(Qty 5) 1"" NPT x 17"" Long Steel Pipe Nipples SCH 40","Business & Industrial:Hydraulics, Pneumatics, Pumps & Plumbing:Fittings & Adapters:Other Fittings & Adapters",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389115588,https://i.ebayimg.com/00/s/NTAwWDE1NTg=/z/NxQAAeSwuntpRNI7/$_57.PNG?set_id=880000500F,33.99 USD,in_stock,used,New – Open box
9000830 8005-052325 02230,388605436669,(Lot of 9) DC Comics - Icon - 1993 - Issues #2 #4 #5 #6 #7 #11 #19 #20 #21,Collectibles:Comic Books & Memorabilia:Comics:Comics & Graphic Novels,Quality part from Bulldog of the Pines. eBay Condition: Good,https://bulldogofthepines.com388605436669,https://i.ebayimg.com/00/s/ODg0WDE1NTQ=/z/r0YAAOSw2RBoU4RC/$_57.PNG?set_id=880000500F,21.24 USD,in_stock,used,Good
9001230 8005-052325 02232,388605472697,"(Lot of 3) Black Panther & The Agents of Wakanda 2019; Issues #1, #2, #2 Variant",Collectibles:Comic Books & Memorabilia:Comics:Comics & Graphic Novels,Quality part from Bulldog of the Pines. eBay Condition: Good,https://bulldogofthepines.com388605472697,https://i.ebayimg.com/00/s/MTM5OFgxMDAx/z/jiIAAOSwzgFoU4h8/$_57.PNG?set_id=880000500F,16.99 USD,in_stock,used,Good
9001120 9001130 1775-052325 02155 02156,388605563042,218A Toner Cartridge *NO CHIP* for HP LaserJet Pro 3201dw & MFP 3301fdw/ 3301sdw,"Computers/Tablets & Networking:Printers, Scanners & Supplies:Printer Ink, Toner & Paper:Toner Cartridges",Quality part from Bulldog of the Pines. eBay Condition: Open box,https://bulldogofthepines.com388605563042,https://bulldogofthepines.com,21.24 USD,in_stock,used,Open box
